Character,Command,Hit level,Damage,Start up frame,Block frame,Hit frame,Counter hit frame,Notes,Notation
Akuma,db3,l (TC),7,15s cs6or1~,-11,-2,-2,,d/b+3
Akuma,d3,l (TC),7,15s cs6or1~,-11,-2,-2,,d+3
Akuma,fc3,l (TC),7,15s cs6or1~,-11,-2,-2,,FC 3
Akuma,db4,l (TC),20,17s cs6or1~,-27,KND,KND,,d/b+4
Akuma,d4,l (TC),20,17s cs6or1~,-27,KND,KND,,d+4
Akuma,fc4,l (TC),20,17s cs6or1~,-27,KND,KND,,FC 4
Akuma,b1,h,17,14,-14~-13,KND,KND,,b+1
Akuma,b2,m,21,23,-9~-8,8~9,KND,,b+2
Akuma,b4,l,15,20,-13~-12,1~2,1~2,,b+4
Akuma,ff2,m,14,15(16~),-14,-2,-2,,"f,f+2"
Akuma,ff2:1,"m, m","14,20",15(16~),-13~-12,KND,KND,Wall Bounce,"f,f+2:1"
Akuma,ff4,m,23,20(21~),0~1,2~3s,KND,,"f,f+4"
Akuma,wr1,h,30,16(19~),1~2,KND,KND,,"f,f,f+1"
Akuma,fff1,h,30,16(19~),1~2,KND,KND,,"f,f,f+1"
Akuma,wr3,m (TJ),30,26(29~) js6~,3~8,KND,KND,,"f,f,f+3"
Akuma,fff3,m (TJ),30,26(29~) js6~,3~8,KND,KND,,"f,f,f+3"
Akuma,wr4,l (TJ),23,20(53~),-24~-18,KND,KND,,WR 4
Akuma,ws1,h,12,13,-5,6,6,,WS 1
Akuma,ws2,m,17,15,-15~-14,Launch,Launch,,WS 2
Akuma,ws3,m,17,13,-10,2,CS,,WS 3
Akuma,ws4,m,10,11,-9~-8,2~3,2~3,,WS 4
Akuma,ws44,"m, m","10,20",11,-15~-14,-5~-4s,KND,,"WS 4,4"
Akuma,vjump1,m (TJ),10,7(16~43) js1~,-25~2,-15~12,-15~12,,vjump 1
Akuma,vjump2,m (TJ),15,9(18~43) js1~,-18~7,-8~17,-8~17,,vjump 2
Akuma,vjump3,m (TJ),10,7(16~43) js1~,-25~2,-15~12,-15~12,,vjump 3
Akuma,vjump4,m (TJ),15,9(18~43) js1~,-18~7,-8~17,-8~17,,vjump 4
Akuma,bjump1,m (TJ),10,9(14~40) js1~,-23~4,-13~14,-13~14,,bjump 1
Akuma,bjump2,m (TJ),15,9(14~40) js1~,-18~9,-8~19,-8~19,,bjump 2
Akuma,bjump3,m (TJ),10,7(12~40) js1~,-26~2,-16~12,-16~12,,bjump 3
Akuma,bjump4,m (TJ),15,7(13~40) js1~,-20~9,-10~19,-10~19,,bjump 4
Akuma,fjumptopofjumpd3,m (TJ),14,13~ (34?~) js1~,-6~1,9s~16s,9s~16s,,fjump top of jump d+3
Akuma,qcf1,Sm,14,19~,-13~,-5~,-5~,,qcf+1
Akuma,qcf2,Sm,14,19~,-13~,-5~,-5~,,qcf+2
Akuma,qcf11+2ff,Sm,14,19~,7?~,15~,15~,,"qcf+1,1+2f,f"
Akuma,hcb1,Sm,15,28~,-9~,-1~,-1~,,hcb+1
Akuma,hcb2,Sm x 3,"9,9,9","33~,41,49",-1~,KND,KND,,hcb+2
Akuma,fddf1,Sm,15,10a cs6~,-26,Launch,Launch,,"f,d,d/f+1"
Akuma,fddf11+2ff,Sm,15,10a cs6~,1,Launch,Launch,,"f,d,d/f+1,1+2f,f"
Akuma,fddf2,Sm x 3,"6,6,20","11,23,35a cs6~7",-34 (~16?a),Launch,Launch,,"f,d,d/f+2"
Akuma,fddf21+2ffonlyfirsthit,Sm,6,11a cs6~7,0~,14,14,,"f,d,d/f+2,1+2f,f only first hit"
Akuma,fddf21+2ffonlytwofirsthits,Sm x 2,"6,6","11,23a cs6~7",?,Launch,Launch,,"f,d,d/f+2,1+2f,f only two first hits"
Akuma,fddf3,(Special) (TJ) (DFLIP),,"11,23 6~7",,,,,"f,d,d/f+3"
Akuma,fddf4,(Special) (TJ) (DFLIP),,"11,23 6~7",,,,,"f,d,d/f+4"
Akuma,dflipn,l,23,4(51~),-24~-18,KND,KND,,d/fLIP n
Akuma,dflip1,h,15,7~ (34~46) js1~,-4~7,KND,KND,,d/fLIP 1
Akuma,dflip2,m,20,16~20 (52~55) js1~,-9~-5s,KND,KND,,d/fLIP 2
Akuma,dflip3,m,21,14~ (41~52) js1~,-10~1,24k,KND,"Homing, Tail Spin",d/fLIP 3
Akuma,dflip4,Sm,15,12~ (44~52) js1~,4~10,16~22s,16~22s,,d/fLIP 4
Akuma,dflip1+3,h (Throw),30,(32~),Throw(KND),dflip 13,,,d/fLIP 1+3
Akuma,dflip2+4,h (Throw),30,(32~),Throw(KND),dflip 24,,,d/fLIP 2+4
Akuma,qcb3,h (TJ),10,15 js9~,-15,KND,KND,Tail Spin,qcb+3
Akuma,qcb4,"Sm (TJ), h x 3","13,6,6,6","10,25,44,54a js13~",-14,KND,KND,,qcb+4
Akuma,jumpqcf1,Sm,10,18(~) js1~,-21~,-11~,-11~,,jump qcf+1
Akuma,jumpqcf2,Sm,10,18(~) js1~,-21~,-11~,-11~,,jump qcf+2
Akuma,jumpqcb3,Sm,10,13(~) js1~,-9~2,KND,KND,,jump qcb+3
Akuma,jumpqcb4,Sm,10,13(~) js1~,-9~2,KND,KND,,jump qcb+4
Akuma,fddf3+4,(Special),,5inv,,,,,"f,d,d/f+3+4"
Akuma,bddb3+4,(Special),,5inv,,,,,"b,d,d/b+3+4"
Akuma,qcf1+2,"Sm, Sm","10,10",19~,1~,KND,KND,,qcf+1+2
Akuma,hcb1+2,Sm x 3,"12,12,12","28~,36,44",9~,KND,KND,,hcb+1+2
Akuma,fddf1+2,Sm x 3,"6,6,23","11,23,35a",-34,Launch,Launch,,"f,d,d/f+1+2"
Akuma,fddf1+2oncounter,Sm (throw),"7,8,9,9,9",11,Throw(Launch),Throw(Launch),Throw(Launch),,"f,d,d/f+1+2 on counter"
Akuma,qcb3+4,Sm x 4,"6,6,6,20","10,24,39,44 js10~",-22,KND,KND,,qcb+3+4
Akuma,jumpqcf1+2,"Sm, Sm","10,10","10,23 js1~",3~,7~,7~,,jump qcf+1+2
Akuma,jumpqcb3+4,Sm,10,13~ js1~,-4~9,KND,KND,,jump qcb+3+4
Akuma,f3+4qcf1+2,"m (TJ), Sm x 2(TPORT)","20,10,10",js1~,-5~-1,5~9,5~9,,"f+3+4,qcf+1+2"
Akuma,f3+4qcb3+4,"m (TJ), Sm x 3(TPORT)","20,6,6,20",js1~,-15,KND,KND,,"f+3+4,qcb+3+4"
Akuma,f3+4qcb3+4thirdhitmiss,"m (TJ), Sm x 2(TPORT)","20,6,6",js1~,-25,KND,KND,,"f+3+4,qcb+3+4 third hit miss"
Akuma,f3+4qcb3+4secondandthirdhitmiss,"m (TJ), Sm (TPORT)","20,6",1~,-35,KND,KND,,"f+3+4,qcb+3+4 second and third hit miss"
Akuma,qcfqcf1+2,Sm x 5,58(20*5),10~,2~,KND,KND,,"qcf,qcf+1+2"
Akuma,ff1,h,7,10(11~),1,8,8,,"f,f+1"
Akuma,ff3,m,18,17(18~),-8,2,2,,"f,f+3"
Akuma,fjump1,m (TJ),(~),-?,?,?,?,,fjump 1
Akuma,fjump1closetoground,m (TJ),,,,,,,fjump 1 close to ground
Akuma,fjump2,m (TJ),15,(~)(~),3?,14?,14?,,fjump 2
Akuma,fjump2closetoground,m (TJ),15,(~)(~)(~),7,17,17,,fjump 2 close to ground
Akuma,fjump3,m (TJ),(~),,,,,,fjump 3
Akuma,fjump3closetoground,m (TJ),(~),2,12,12,KND,,fjump 3 close to ground
Akuma,fjump4,m (TJ),15,(~)(~),3?,14?,14?,,fjump 4
Akuma,fjump4closetoground,m (TJ),15,(~)(~)(~),7,17,17,,fjump 4 close to ground
Akuma,ss1,h,7,10(11~),1,8,8,,SS 1
Akuma,ss2,Sm,15,15(16~),-9,0,0,,SS 2
Akuma,ss3,h,14,15(16~),-8,3,3,,SS 3
Akuma,ss4,h,12,14(15~),-13,2,2,,SS 4
Akuma,bt1,h,20,8,-8,3,3,,BT 1
Akuma,bt2,h,20,8,-8,3,3,,BT 2
Akuma,bt3,h,33,10,-8,KND,KND,,BT 3
Akuma,bt4,h,33,10,-8,KND,KND,,BT 4
Akuma,btd1,Sm,10,10s,-2,9,9,,BT d+1
Akuma,btd2,Sm,10,10s,-2,9,9,,BT d+2
Akuma,btd3,l,12,10s,-11,3,3,,BT d+3
Akuma,btd4,l,12,10s,-11,3,3,,BT d+4
Alisa,rageb1+2,h x 6 (DES),55,13(~43?) pc8~,1,KND,KND,Rage Art,In Rage b+1+2
Alisa,ragewsb1+2,h x 6 (DES),55,13(~43?) pc8~,1,KND,KND,Rage Art,In Rage b+1+2
Alisa,ragedesb1+2,h x 6 (DES),55,13(~43?) pc8~,1,KND,KND,Rage Art,In Rage des b+1+2
Alisa,ragef2+3,"m (TJ), m","12,25","16,36",0~1,SPD,SPD,"Rage Drive, Tail Spin",In Rage f+2+3
Alisa,ragef2+33+4,"m (TJ), m (SBT)","12,25","16,36",5~6,SPD,SPD,"Rage Drive, Tail Spin","In Rage f+2+3,3+4"
Alisa,ragef2+3f3+4,"m (TJ), m (DBT)","12,25","16,36",5~6,SPD,SPD,"Rage Drive, Tail Spin","In Rage f+2+3,f+3+4"
Alisa,1,h,7,10,1,8,8,,1
Alisa,11,"h, h","7,18",10,-3,5,KND,,"1,1"
Alisa,111+2,"h, h (DES)","7,18",10,-3,5,KND,,"1,1,1+2"
Alisa,12,"h, h","7,10",10,-2,4,9,,"1,2"
Alisa,122,"h, h, l","7,10,17",10,-11~-10,2~3,KND,,"1,2,2"
Alisa,122*,"h, h, l","7,10,22",10,-10~-9,KND,KND,,"1,2,2*"
Alisa,124,"h, h, h","7,10,21",10,-5~-4,KND,KND,Tail Spin,"1,2,4"
Alisa,2,h,10,12,-6,5,5,,2
Alisa,23,"h, m","10,8",12,-10~-9,1~2,1~2,,"2,3"
Alisa,233,"h, m, m (TJ)","10,8,25",12a,-11~-9,KND,KND,Tail Spin,"2,3,3"
Alisa,234,"h, m, l (TJ)","10,8,20",js24~,-19~-16,KND,KND,,"2,3,4"
Alisa,24,"h, h","10,21",24~,-5~-4,KND,KND,Tail Spin,"2,4"
Alisa,3,m,12,14~15,-12~-11,-1~0,-1~0,,3
Alisa,32,"m, m x 5 (DES)","12,4*5",14~15,-9,1,1,,"3,2"
Alisa,4,h,24,13~14,-5~-4,KND,KND,"Homing, Tail Spin",4
Alisa,1+2,m (TJ),21,33~34 js7~,-5~-4,KND,KND,,1+2
Alisa,f2,m,12,17~18,-4~-3,7~8,7~8,,f+2
Alisa,f21,"m, m (DES)","12,20",17~18,-13~-12,KND,KND,Wall Bounce,"f+2,1"
Alisa,f21+2,m (DES),12,17~18,-4~-3,7~8,7~8,,"f+2,1+2"
Alisa,f23,"m, h (TJ)","12,8",js17~,-8,4,4,,"f+2,3"
Alisa,f23f,"m, h (TJ) (Special)","12,8",17~a,-12,0,0,,"f+2,3,f"
Alisa,f233,"m, h (TJ), m","12,8,22",js1~12,-10~-9,ED,ED,Wall Bounce,"f+2,3,3"
Alisa,f3,h,13,14~15,-14~-13,-3~-2,-3~-2,,f+3
Alisa,f32,"h, h (DES)","13,20",14~15,-4~-2,KND,KND,Tail Spin,"f+3,2"
Alisa,f31+2,"h, m (DES)","13,25",14~15,-13~-12,CS,CS,,"f+3,1+2"
Alisa,f4,m,14,16,-12,-2,-2,Homing,f+4
Alisa,f41,"m, h","14,14",16,-9~-8,KND,KND,,"f+4,1"
Alisa,f414,"m, h, m","14,14,24",16,-14~12 (-12),KND,KND,,"f+4,1,4"
Alisa,f1+2,m,25,14~15,-12~-11,7~8,7~8,,f+1+2
Alisa,f1+23+4,m (Special) (TJ) (SBT),25,14~15a,-16~-15,3~4,3~4,,"f+1+2,3+4"
Alisa,f1+2f3+4,m (Special) (TJ) (DBT),25,14~15a,-16~-15,3~4,3~4,,"f+1+2,f+3+4"
Alisa,df1,m,10,13,-6,5,8,,d/f+1
Alisa,df11,"m, h","10,20",13,1~2,8~9,8~9,,"d/f+1,1"
Alisa,df112,"m, h, h x 7 (DES)","10,20,4*7",13,6,8,8,,"d/f+1,1,2"
Alisa,df14,"m, m","10,17",13,-9~-8,5~6s,KND,,"d/f+1,4"
Alisa,df2,m,16,16~17,-9~-8,Launch(7),Launch,,d/f+2
Alisa,df3,m,14,16,-9,1,1,,d/f+3
Alisa,df33,"m, l","14,17",16,-12~-11,1~2,KND,,"d/f+3,3"
Alisa,df4,m,13,12,-7,4,4,,d/f+4
Alisa,df1+2,m (DES),25,19~20 pc6,-14~-13,CS,CS,Power Crush,d/f+1+2
Alisa,d2,m,17,24~26,-14~-12,2~4s,2~4s,,d+2
Alisa,d24,"m, m","17,24",24~26a,-13~-10,KND,KND,,"d+2,4"
Alisa,d241+2,"m, m (DES)","17,24",24~26a,-13~-10,KND,KND,,"d+2,4,1+2"
Alisa,d3,l (TJ) (Special) (TC),17,23~32s js9~,-10~-1,8~17,KND,,d+3
Alisa,d3afterstanceends,l (TJ) (Special) (TC),17,23~32s js9~,-19~-10,-1~8,KND,,d+3 after stance ends
Alisa,d4,l,15,17~18,-16~-15,-5~-4,-5~-4,,d+4
Alisa,d41+2,"l, h","15,20",17~18,2~3,KND,KND,Tail Spin,"d+4,1+2"
Alisa,d3+4,l (TJ),20,27~28 js5~ cs20~,-37,KND,KND,Homing,d+3+4
Alisa,d3+41+2,l (TJ) (DES),20,27~28 js5~ cs20~,KND,KND,KND,Homing,"d+3+4,1+2"
Alisa,db2,m,17,18~19,-18~-17,-5~-4,-5~-4,,d/b+2
Alisa,db22,"m, m","17,13",18~19,-10~-9,14~15 (SH),14~15 (SH),,"d/b+2,2"
Alisa,db221+2,"m, m (DES)","17,13",18~19,-10~-9,14~15 (SH),14~15 (SH),,"d/b+2,2,1+2"
Alisa,db3,l (TC),11,16s cs4~,-12,-1,4,,d/b+3
Alisa,db4,l (TC),23,24~25a cs6~,-17~-16,KND,KND,,d/b+4
Alisa,b1,m,15,15~16s,-5~-4,8~9,8~9,,b+1
Alisa,b11+2,"m, Sm, m","15,1,30",15~16,-16~-14,Launch,Launch,,"b+1,1+2"
Alisa,b2,m,12,18,-12,-2,-2,,b+2
Alisa,b21,"m, m","12,17",18,-13~-12,3~4s,KND,,"b+2,1"
Alisa,b24,"m, h","12,20",18,-7~-6,KND,KND,Tail Spin,"b+2,4"
Alisa,b3,m,26,20~22,-8~-6,ED,ED,Homing,b+3
Alisa,b4,m,17,15~16,-13~-12,-4~-3,CS,,b+4
Alisa,b43,"m, m","17,20",js1~27,-11~-10,6~7s,KND,,"b+4,3"
Alisa,b431+2,"m (TJ), m (DES)","17,15",1~27,-11~-10,6~7s,KND,,"b+4,3,1+2"
Alisa,b3+4,m (TJ),20,19~20 js6~,-17~-16,Launch,Launch,,b+3+4
Alisa,b3+43+4,"m (TJ), m (TJ)","20,35",js1~,5~10s,KND,KND,,"b+3+4,3+4"
Alisa,b2+3,m!,50,75,KND,KND,KND,,b+2+3
Alisa,ub3+4,m (TJ),25,37~39 js5~,2~4s,KND,KND,,u/b+3+4
Alisa,bt3+4,m (TJ),25,37~39b js5~,2~4s,KND,KND,,BT 3+4
Alisa,ub3+41+2,"m (TJ), m","25,20",js1~20 ar48~,-14~-13,Launch,Launch,,"u/b+3+4,1+2"
Alisa,bt3+41+2,"m (TJ), m","25,20",js1~20 ar48~,-14~-13,Launch,Launch,,"BT 3+4,1+2"
Alisa,ub3,m (TJ),15,20~21 js9~,-52~-51,-25~-24 (SH),-25~-24 (SH),,u/b+3
Alisa,u3,m (TJ),15,20~21 js9~,-52~-51,-25~-24 (SH),-25~-24 (SH),,u+3
Alisa,uf3,m (TJ),15,20~21 js9~,-52~-51,-25~-24 (SH),-25~-24 (SH),,u/f+3
Alisa,uf32,"m (TJ), m (TJ)","15,30",js1~,-14~-9,KND,KND,,"u/f+3,2"
Alisa,uf33+4,m (TJ) (Special) (TJ) (SBT),15,js1~,-29~-28,-3~-2 (SH),-3~-2 (SH),,"u/f+3,3+4"
Alisa,uf3f3+4,m (TJ) (Special) (TJ) (DBT),15,js1~,-29~-28,-3~-2 (SH),-3~-2 (SH),,"u/f+3,f+3+4"
Alisa,u4,m (TJ),10,15~16 js9~,-15~-14,-4~-3,-4~-3,,u+4
Alisa,uf4,m (TJ),10,15~16 js9~,-15~-14,-4~-3,-4~-3,,u/f+4
Alisa,uf44,"m (TJ), m","10,10",js1~,-13~-11s,BU,BU,,"u/f+4,4"
Alisa,u3+4,m (TJ),28,38~41 js9~,0~3,KND,KND,,u+3+4
Alisa,uf3+4,m (TJ),28,38~41 js9~,0~3,KND,KND,,u/f+3+4
Alisa,ff2,m,18,16~17 (17~),-18~-17,KND,KND,,"f,f+2"
Alisa,ff23,"m, m","18,25",16~17 (17~),-13~-11,KMED,KMED,,"f,f+2,3"
Alisa,ff3,m,12,18~19 (19~) js15~,-18~-17,-6~-5,-6~-5,,"f,f+3"
Alisa,ff34,"m, h (TJ)","12,15",js1~,-9~-8,KND,KND,,"f,f+3,4"
Alisa,ff341+2,"m, h (TJ) (DES)","12,15",js1~,-9~-8,KND,KND,,"f,f+3,4,1+2"
Alisa,ff344,"m, h (TJ), m","12,15,25",js1~12,-10~-8,KND,KND,Tail Spin,"f,f+3,4,4"
Alisa,ff3441+2,"m, h (TJ), m (DES)","12,15,25",js1~12,-10~-8,KND,KND,Tail Spin,"f,f+3,4,4,1+2"
Alisa,ff4,m,18,19~26 (20~),-11~-4,Throw(5b),Throw(5b),,"f,f+4"
Alisa,ff4f1,"m, m","18,22",19~26 (20~),KND,"f,f4,f1",,,"f,f+4,f+1"
Alisa,ff4b1,"m, m","18,22",19~26 (20~),KND,"f,f4,b1",,,"f,f+4,b+1"
Alisa,ff1+2,"m, m","5,18","17~18, 30~31 (18~)",-16~-15,CS,CS,,"f,f+1+2"
Alisa,ff1+22,"m, m, m x 6 (DES)","5,18,2*6","17~18, 30~31 (18~)",CS,CS,CS,,"f,f+1+2,2"
Alisa,bf2,h,26,16~24 (16~) pc8~15,-8~0,KND,KND,Power Crush,"b,f+2"
Alisa,bb1+4,h! (TJ),50,63~80 (64~),KND,KND,KND,,"b,b+1+4"
Alisa,wr2,h,30,13~15 (16~) js3~,5~7,KND,KND,,"f,f,f+2"
Alisa,fff2,h,30,13~15 (16~) js3~,5~7,KND,KND,,"f,f,f+2"
Alisa,wr3,m (TJ),15,18~19 (21~) js3~,-4~-3,6~7,6~7,,"f,f,f+3"
Alisa,fff3,m (TJ),15,18~19 (21~) js3~,-4~-3,6~7,6~7,,"f,f,f+3"
Alisa,wr34,"m (TJ), m (TJ)","15,20",js1~,-7~-5,KMED,KMED,Tail Spin,"f,f,f+3,4"
Alisa,fff34,"m (TJ), m (TJ)","15,20",js1~,-7~-5,KMED,KMED,Tail Spin,"f,f,f+3,4"
Alisa,wr1+2,m (TJ),24,18~36 js5~,-3~15,KND,KND,,WR 1+2
Alisa,ws1,m,12,13~14,-12~-11,-1~0,-1~0,,WS 1
Alisa,ws12,"m, h","12,12",13~14,-5~-4,6~7,6~7,,"WS 1,2"
Alisa,ws121+2,"m, h","12,12",13~14(DES),-5~-4,6~7,6~7,,"WS 1,2"
Alisa,ws123,"m, h, m","12,12,23",13~14,-10~-9,Launch,Launch,,"WS 1,2,3"
Alisa,ws1231+2,"m, h, m (DES)","12,12,23",13~14,-10~-9,Launch,Launch,,"WS 1,2,3,1+2"
Alisa,ws2,m,24,17~18,-13~-12,Launch,Launch,,WS 2
Alisa,ws23+4,m (Special) (TJ) (SBT),24,17~18 js1~,-7~-6,Launch,Launch,,"WS 2,3+4"
Alisa,ws2f3+4,m (Special) (TJ) (DBT),24,17~18 js1~,-7~-6,Launch,Launch,,"WS 2,f+3+4"
Alisa,ws3,m (Special),18,19~20a,-137~-136,-126~-125,-126~-125,,WS 3
Alisa,ws33b,m (Special),18,19~20,-14~-13,-1~0,-1~0,,"WS 3,3,b"
Alisa,ws33one,m,20,13~14,-10~-9,11kg,KND,Tail Spin,"WS 3,3 one"
Alisa,ws33,m,22,13~14,0~1,KND,KND,Tail Spin,"WS 3,3"
Alisa,ws3d3,l (TC),20,30~31s cs9~,-12~-11,KND,KND,,"WS 3,d+3"
Alisa,ws4,m,15,11~12,-5~-4,6~7,6~7,,WS 4
Alisa,ws1+2,m,20,20~21s,-8~-7,KND,KND,Homing,WS 1+2
Alisa,ws1+2*two,m,24,28~29s,-4~-3,KND,KND,Homing,WS 1+2* two
Alisa,ws1+2*three,m,28,39~40s,0~1,AZUD,AZUD,Homing,WS 1+2* three
Alisa,fcdf1+2,"l, l","10,16","21~23, 31~33 cs1~",-11~-9,5~7s,5~7s,,FC d/f+1+2
Alisa,fcdf1+21+2,"l, l (DES)","10,16","21~23, 31~33 cs1~",-11~-9,5~7s,5~7s,,"FC d/f+1+2,1+2"
Alisa,ss4,l,15,24~25 (33~) cs6~,-12~-11,2~3,2~3,,SS 4
Alisa,ss41+2,"l, h x 3 (TJ), m (TJ)","15,5*4",js15~,-10~-9,8~9,8~9,,"SS 4,1+2"
Alisa,bt4,m (TJ),20,16~17b,-3~-2,KND,KND,,BT 4
Alisa,opponentdowndb1+2,l (On grounded opponent),20,24~26,-14~-12,KND,KND,,opponent down d/b+1+2
Alisa,groundedfaceup1+2,(Special) (TJ),a,grounded face up 1+2,,,,,grounded face up 1+2
Alisa,groundedfaceup1+23+4,"(Special) (TJ), m (TJ)",35,22~23 (42~43) js1~,-10~-9,KND,KND,,"grounded face up 1+2,3+4"
Alisa,1+2+3,(Special) (TJ),a,1+2+3,,,,,1+2+3
Alisa,1+2+4,(Special),(g),1+2+4,,,,,1+2+4
Alisa,1+2+3+4,(Special) (TJ),a,1+2+3+4,,,,,1+2+3+4
Alisa,1+2+3+41+2,(Special) (TJ) (DES),a,"1+2+3+4,1+2",,,,,"1+2+3+4,1+2"
Alisa,db1,(Special) (TC),s(cs4) 15~,db+1,,,,,d/b+1
Alisa,db1~1,h,31,11~13 (26~) cs4~15,4~6,KMED,KMED,Tail Spin,d/b+1~1
Alisa,db1~2,h! (Sky),"20(,3)",34~75(49~),KND,KND,KND,,d/b+1~2
Alisa,db1~3,m (TJ),30,24~27 (39~) js15~,-9~-6,KND,KND,,d/b+1~3
Alisa,db1~4,m,30,18~23 (33~) js17~,-9~-4,Launch,Launch,,d/b+1~4
Alisa,f3+4,(Special) (TJ) (SBT),18~23 (33~) 17~,f+3+4,,,,,f+3+4
Alisa,f3+4b,(Special),s(47~),"f+3+4,b",,,,,"f+3+4,b"
Alisa,f3+4d,(Special),s(36~),"f+3+4,d",,,,,"f+3+4,d"
Alisa,sbt1,m,12,13~14 (38~) js1~,-15~-14,0~1,0~1,,SBT 1
Alisa,sbt12,"m, m","12,13",js1~,-9~-8,2~3,7~8s,,"SBT 1,2"
Alisa,sbt121,"m, m, m","12,13,7",js1~,-20~-19,-12~-11,-12~-11,,"SBT 1,2,1"
Alisa,sbt1213+4,"m, m, m, m, m","12,13,7,5,28",js1~,-18,KND,KND,,"SBT 1,2,1,3+4"
Alisa,sbt1213+41+2,"m, m, m, m, m (DES)","12,13,7,5,28",js1~,-18~-17,KND,KND,,"SBT 1,2,1,3+4,1+2"
Alisa,sbt2,m,25,16~27 (41~) js1~,-8~3,KND,KND,,SBT 2
Alisa,sbt21+2,m (DES),25,16~27 (41~) js1~,-8~3,KND,KND,,"SBT 2,1+2"
Alisa,sbt3,l,17,16~20s (41~) js1~cs9~,-14~-10,4~8s,KND,,SBT 3
Alisa,sbt4,m,"22(,5)",18~19 (43~) js1~,-27~-26,Launch,Launch,,SBT 4
